#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
635000,-2683604.2741650846,604049.8602271567,-2079554.413937928,299.7312102116242,2247.8773153149277,17.2
640000,-2680642.921101244,604697.9131145228,-2075945.0079867213,300.0527758455246,2248.968685801178,17.2
645000,-2683129.4939447753,605909.8305006573,-2077219.663444118,300.6541326022102,2246.042090804063,17.2
650000,-2683022.7826804984,606203.7692456801,-2076819.0134348185,300.7999858199241,2245.338584368233,17.2
655000,-2685216.2782009467,603289.4227085623,-2081926.8554923844,299.35387901308223,2246.56278571525,17.2
660000,-2684994.881084012,606553.3611970379,-2078441.519886974,300.9734543124444,2245.0924259978556,17.2
665000,-2684080.1818264145,606366.4770941988,-2077713.7047322157,300.8807219040763,2246.153431773105,17.2
670000,-2687717.483485095,604773.8760609489,-2082943.6074241463,300.09046886949943,2243.4665659403167,17.2
675000,-2685044.69777607,605138.9008975857,-2079905.796878484,300.27159520235097,2247.3899089032143,17.2
680000,-2685351.171231659,604382.1119037465,-2080969.0593279125,299.8960744118769,2247.148293629551,17.2
685000,-2685767.2283362634,606032.910951799,-2079734.3173844644,300.7152054622556,2244.0080481158448,17.2
690000,-2681168.65085979,603703.7563127405,-2077464.8945470494,299.55947249267507,2247.342907596363,17.2
695000,-2686419.0259385686,604637.2583923596,-2081781.767546209,300.0226788047403,2244.6817345651566,17.2
700000,-2686026.1680110022,606008.4978571724,-2080017.6701538297,300.70309161722514,2242.4881418378422,17.2
705000,-2687225.2850463465,605777.3177863571,-2081447.9672599894,300.58837942711517,2241.212765410699,17.2
710000,-2685085.250556154,604630.8671296043,-2080454.3834265498,300.01950744249586,2242.456211092207,17.2
715000,-2685304.4959219377,603339.0795517286,-2081965.4163702093,299.37851887591063,2241.7400727770637,17.1
720000,-2684541.091190994,606689.6223321146,-2077851.468858879,301.0410674642892,2242.713547540772,17.1
725000,-2683988.5726852417,605425.9500775068,-2078562.622607735,300.414029798819,2242.4529922321854,17.1
730000,-2686520.7795541976,604008.1960480597,-2082512.5835061378,299.71053633079833,2242.0851355870236,17.1
735000,-2685216.4821706135,605810.4561394377,-2079406.0260311756,300.6048227695067,2242.3131805192625,17.1
740000,-2688533.32616953,604765.8718867678,-2083767.454282762,300.08649717614753,2241.8731589009017,17.1
745000,-2685092.822795436,606008.691470326,-2079084.1313251099,300.70318768860716,2242.72535485422,17.1
750000,-2685003.0163596757,604601.7294952052,-2080401.2868644705,300.00504926777194,2241.8454469726034,17.1
755000,-2685094.1856866647,603817.6569922813,-2081276.5286943833,299.6159903246796,2241.5706235210364,17.1
760000,-2687285.096847456,605518.0706630368,-2081767.0261844192,300.4597402879761,2242.4877524132635,17.1
765000,-2685637.848453587,604124.80050922,-2081513.047944367,299.7683957867156,2244.901978112579,17.1
770000,-2686822.8036651406,605184.7776011662,-2081638.0260639745,300.2943593494687,2244.176437975418,17.1
775000,-2684138.3637996484,604732.553665818,-2079405.8101338304,300.06996458282214,2243.183865342034,17.1
780000,-2685683.57099198,602872.0380317065,-2082811.5329602733,299.1467715827937,2241.145526655865,17.1
785000,-2685998.7904556394,606033.4901990548,-2079965.3002565845,300.7154928863449,2243.1279555926108,17.1
790000,-2685311.131886469,602746.8184917616,-2082564.3133947076,299.0846373009718,2240.199261106738,17.1
795000,-2685182.098947618,605443.7750717481,-2079738.32387587,300.422874610229,2244.1322621543572,17.1
800000,-2682785.4577633515,604663.1922611538,-2078122.2655021977,300.035547262116,2242.9646468882775,17.1
805000,-2685773.9785535317,605575.746241574,-2080198.2323119577,300.488359069459,2242.5755275126917,17.1
810000,-2684857.719689466,605662.290659068,-2079195.429030398,300.5313026486245,2243.046812122999,17.1
815000,-2686395.7232203204,602861.2182288567,-2083534.5049914639,299.1414027667142,2244.1657638293145,17.1
820000,-2684810.3824001234,605260.6403855972,-2079549.7420145262,300.3320026727848,2245.2918990337976,17.1
825000,-2683767.7801942416,603389.480811307,-2080378.2993829346,299.40352812022024,2245.6254612123084,17.1
830000,-2685735.0914236866,607616.1814247145,-2078118.909998972,301.50082864700533,2243.9053707583316,17.1
835000,-2686188.404533865,604193.9578733791,-2081994.4466604858,299.8027118619592,2242.9669515350156,17.1
840000,-2686142.127674857,605041.3039204138,-2081100.8237544433,300.2231673125246,2243.311637680907,17.1
845000,-2684899.5157217663,603690.4008048412,-2081209.114916925,299.5528454527414,2240.7125314318764,17.1
850000,-2687729.0114286263,606131.2932998196,-2081597.7181288067,300.76402305526784,2241.7480489858526,17.1
855000,-2684608.5612407476,603983.0879298036,-2080625.473310944,299.69807761312194,2240.3414218041225,17.1
860000,-2687085.979128478,602882.916019136,-2084203.063109342,299.1521692702225,2240.6550506371545,17.1
865000,-2685141.739968097,602473.7676374812,-2082667.9723306156,298.9491487123775,2240.3499921140183,17.1
870000,-2687469.3882210124,603277.0301147305,-2084192.358106282,299.34772977377025,2238.5877184913206,17.1
875000,-2688093.5891775563,604705.0648305821,-2083388.5243469742,300.0563245468003,2235.2903439028155,17.1
880000,-2686795.9411860984,605370.3370099844,-2081425.6041761138,300.38643444100234,2238.9502007818664,17.1
885000,-2683596.7474895343,603472.4166249202,-2080124.330864614,299.444681100166,2237.7782737469875,17.1
890000,-2682032.064173421,605283.5178151423,-2076748.5463582785,300.34335451655727,2239.9539926903067,17.1
895000,-2687928.373784149,605693.9377394647,-2082234.4360446844,300.5470060173884,2238.9240220229826,17.1
